timestamp,pipeline,query,answer,retrieval_time,compression_time,generation_time,total_latency,input_tokens,output_tokens,total_tokens,original_tokens,optimized_tokens,compression_ratio,quality_score
2026-03-13T23:31:43.113427,classic_rag,What are the major sources of greenhouse gas emissions?,The provided context does not contain information about the major sources of greenhouse gas emissions.,0.0974,0.0,22.7921,22.8894,419,16,435,409,409,1.0,0.5
2026-03-13T23:31:43.113427,classic_rag,How have U.S. greenhouse gas emissions changed since 1990?,"The provided context does not contain specific information about how U.S. greenhouse gas emissions have changed since 1990; it only references reports and indicators without giving the actual trend or numerical change. Therefore, based solely on the given context, the answer cannot be determined.",0.4587,0.0,5.6618,6.1205,612,53,665,598,598,1.0,0.8
2026-03-13T23:31:43.113427,classic_rag,What sectors contribute most to global greenhouse gas emissions?,"The provided context does not state which specific sectors contribute the most to global greenhouse‑gas emissions. It only notes that emissions are plotted by IPCC sector (e.g., Energy, Industrial Processes and Product Use, Agriculture, Forestry and Other Land Use, Waste) but does not give a ranking or quantify the contributions of each sector. Therefore, based solely on the given information, we cannot determine which sectors are the largest contributors.",0.6117,0.0,10.0769,10.6886,500,85,585,490,490,1.0,0.85
2026-03-13T23:31:43.113427,classic_rag,What is climate forcing?,"Climate forcing is the measure of greenhouse gases’ ability to cause changes in the Earth’s climate—specifically, the radiative forcing associated with long‑lived greenhouse gases that quantifies how these gases influence the climate system.",0.1286,0.0,5.7746,5.9032,336,45,381,331,331,1.0,0.65
2026-03-13T23:31:43.113427,classic_rag,How is global temperature changing over time?,"According to the data presented, global temperature has been rising over the period 1979‑2013. The surface temperature trend is about **+0.027 °F per year** (p < 0.001). Satellite‑based analyses show similar warming rates: **+0.025 °F/year** for the UAH dataset and **+0.023 °F/year** for the RSS dataset. All three trends are statistically significant.",0.1307,0.0,23.2731,23.4039,533,91,624,525,525,1.0,0.9
2026-03-13T23:31:43.113427,summarization_rag,What are the major sources of greenhouse gas emissions?,"The CAIT 2.0 methodology identifies the major sources of greenhouse‑gas emissions as:

1. **Fossil‑fuel combustion** – national CO₂ emissions from the Carbon Dioxide Information Analysis Center (CDIAC) at Oak Ridge National Laboratory.  
2. **Energy‑related activities** – data from the U.S. Energy Information Administration’s International Energy Statistics, covering other energy‑sector emissions.  
3. **Land‑use, land‑use change, and forestry (LULUCF)** – emissions derived from the Food and Agr",0.0188,63.723,3.4211,3.4399,412,169,2654,409,402,1.02,0.7
2026-03-13T23:31:43.113427,summarization_rag,How have U.S. greenhouse gas emissions changed since 1990?,"The provided context does not give any specific information about the direction or magnitude of change in U.S. greenhouse‑gas emissions since 1990. It only notes that the EPA’s 2014 inventory supplies a complete accounting of U.S. emissions and sinks for the period 1990‑2012 and that the inventory has been revised with two additional figures/updates since the 2012 report, with the most recent year covered remaining 2012. No trend (increase, decrease, or stability) is described in the text. There",0.0329,192.4102,5.0089,5.0417,716,133,3881,598,702,0.85,1.0
2026-03-13T23:31:43.113427,summarization_rag,What sectors contribute most to global greenhouse gas emissions?,"The provided context does not specify which IPCC sectors contribute the most to global greenhouse‑gas emissions; it only notes that EPA Figure 2 shows global GHG emissions by IPCC sector without naming the top‑contributing sectors. Therefore, the answer cannot be determined from the given information.",0.0339,64.7467,26.1491,26.183,493,59,2573,490,483,1.01,0.85
2026-03-13T23:31:43.113427,summarization_rag,What is climate forcing?,"Climate forcing is the indicator that translates atmospheric greenhouse‑gas concentrations into their radiative‑forcing impact on Earth’s climate – i.e., the change in the planet’s energy balance caused by those greenhouse gases.",0.0466,72.4298,8.9657,9.0123,329,41,1835,331,324,1.02,0.9
2026-03-13T23:31:43.113427,summarization_rag,How is global temperature changing over time?,"Based on the provided context, global temperatures have been increasing over time. From 1979 to 2013, the overall rise was roughly **0.023–0.027 °F per year**. Surface temperature measurements showed the strongest trend at **+0.027 °F/yr**, while the UAH and RSS satellite records indicated slightly lower but still significant trends of **+0.025 °F/yr** and **+0.023 °F/yr**, respectively. All of these trends are statistically significant (p < 0.001). Thus, global temperature is warming at a modes",0.0179,69.4434,5.7913,5.8092,481,132,2748,525,473,1.11,1.0
